step,t,y_BE,y_true,abs_error
41,4.100000000000001,6.029181789211072e-08,1.2501528663867337e-09,5.904166502572399e-08
42,4.200000000000001,4.0194545261407147e-08,7.582560427911853e-10,3.943628921861596e-08
43,4.300000000000001,2.6796363507604763e-08,4.5990553786523006e-10,2.6336457969739532e-08
44,4.4,1.7864242338403173e-08,2.7894680928689246e-10,1.758529552911628e-08
45,4.5,1.1909494892268781e-08,1.6918979226151304e-10,1.1740305100007268e-08
46,4.6,7.93966326151252e-09,1.026187963170189e-10,7.837044465195502e-09
47,4.699999999999999,5.293108841008347e-09,6.224144622907806e-11,5.230867394779269e-09
48,4.799999999999999,3.528739227338898e-09,3.775134544279125e-11,3.4909878818961066e-09
49,4.899999999999999,2.352492818225932e-09,2.289734845645569e-11,2.329595469769476e-09
50,4.999999999999998,1.5683285454839546e-09,1.388794386496412e-11,1.5544406016189904e-09
51,5.099999999999998,1.0455523636559697e-09,8.423463754468738e-12,1.037128899901501e-09
52,5.1999999999999975,6.970349091039797e-10,5.109089028063397e-12,6.919258200759164e-10
53,5.299999999999997,4.6468993940265314e-10,3.0988191387218696e-12,4.615911202639313e-10
54,5.399999999999997,3.097932929351021e-10,1.87952881653911e-12,3.0791376411856295e-10
55,5.4999999999999964,2.0652886195673472e-10,1.1399918530443756e-12,2.0538887010369035e-10
56,5.599999999999996,1.3768590797115648e-10,6.91440010694035e-13,1.3699446796046245e-10
57,5.699999999999996,9.179060531410432e-11,4.193795658379634e-13,9.137122574826636e-11
58,5.799999999999995,6.119373687606954e-11,2.5436656473769773e-13,6.093937031133184e-11
59,5.899999999999995,4.079582458404636e-11,1.542811203191926e-13,4.0641543463727165e-11
60,5.999999999999995,2.7197216389364237e-11,9.357622968840441e-14,2.7103640159675834e-11
61,6.099999999999994,1.813147759290949e-11,5.6756852326328837e-14,1.807472074058316e-11
62,6.199999999999994,1.2087651728606328e-11,3.4424771084700746e-14,1.2053226957521627e-11
63,6.299999999999994,8.058434485737552e-12,2.0879679116460002e-14,8.037554806621092e-12
64,6.399999999999993,5.372289657158368e-12,1.2664165549094625e-14,5.359625491609273e-12
65,6.499999999999993,3.5815264381055786e-12,7.681204685202368e-15,3.573845233420376e-12
66,6.5999999999999925,2.3876842920703856e-12,4.658886145103563e-15,2.383025405925282e-12
67,6.699999999999992,1.5917895280469236e-12,2.8257572871157317e-15,1.5889637707598078e-12
68,6.799999999999992,1.061193018697949e-12,1.713908431542086e-15,1.059479110266407e-12
69,6.8999999999999915,7.074620124652993e-13,1.0395380116702663e-15,7.06422474453629e-13
70,6.999999999999991,4.716413416435328e-13,6.305116760147258e-16,4.710108299675182e-13
71,7.099999999999991,3.1442756109568856e-13,3.8242466280972982e-16,3.1404513643287883e-13
72,7.19999999999999,2.0961837406379236e-13,2.319522830243685e-16,2.0938642178076799e-13
73,7.29999999999999,1.397455827091949e-13,1.4068617124462167e-16,1.3960489653795029e-13
74,7.39999999999999,9.316372180612993e-14,8.53304762574449e-17,9.307839132987249e-14
